Year-Month,TX_MVT_Count
2006-01,7715
2006-02,6665
2006-03,7503
2006-04,7720
2006-05,8215
2006-06,7820
2006-07,8707
2006-08,8631
2006-09,7975
2006-10,8481
2006-11,7901
2006-12,8028
2007-01,8090
2007-02,6838
2007-03,8029
2007-04,7881
2007-05,8469
2007-06,8260
2007-07,8351
2007-08,8547
2007-09,7973
2007-10,7469
2007-11,6901
2007-12,7103
2008-01,7399
2008-02,6229
2008-03,7053
2008-04,6791
2008-05,7395
2008-06,7405
2008-07,7765
2008-08,8281
2008-09,6918
2008-10,7040
2008-11,6475
2008-12,6592
2009-01,6550
2009-02,5313
2009-03,6572
2009-04,6267
2009-05,6573
2009-06,6690
2009-07,6877
2009-08,6919
2009-09,6543
2009-10,6491
2009-11,5868
2009-12,5837
2010-01,5949
2010-02,4940
2010-03,5910
2010-04,5795
2010-05,5886
2010-06,5736
2010-07,6226
2010-08,5982
2010-09,5491
2010-10,5567
2010-11,5396
2010-12,5072
2011-01,4941
2011-02,4100
2011-03,5144
2011-04,5174
2011-05,5678
2011-06,5693
2011-07,5710
2011-08,5626
2011-09,5343
2011-10,5708
2011-11,5449
2011-12,5305
2012-01,5254
2012-02,4494
2012-03,5043
2012-04,5185
2012-05,5616
2012-06,5641
2012-07,6054
2012-08,5932
2012-09,5453
2012-10,5740
2012-11,5264
2012-12,5354
2013-01,5783
2013-02,4576
2013-03,5061
2013-04,5146
2013-05,5383
2013-06,5663
2013-07,5942
2013-08,5745
2013-09,5422
2013-10,5700
2013-11,5350
2013-12,5817
2014-01,5965
2014-02,4989
2014-03,5488
2014-04,5295
2014-05,5683
2014-06,5716
2014-07,6069
2014-08,5940
2014-09,5671
2014-10,5899
2014-11,5710
2014-12,5773
2015-01,5833
2015-02,4621
2015-03,5268
2015-04,5398
2015-05,5690
2015-06,5940
2015-07,6358
2015-08,5937
2015-09,5508
2015-10,5742
2015-11,5377
2015-12,5700
2016-01,5695
2016-02,4893
2016-03,5294
2016-04,5542
2016-05,5839
2016-06,5894
2016-07,6182
2016-08,6059
2016-09,5649
2016-10,5860
2016-11,5891
2016-12,5917