Year-Month,TX_Population
2006-01,23405000
2006-02,23405000
2006-03,23405000
2006-04,23405000
2006-05,23405000
2006-06,23405000
2006-07,23405000
2006-08,23405000
2006-09,23405000
2006-10,23405000
2006-11,23405000
2006-12,23405000
2007-01,23904000
2007-02,23904000
2007-03,23904000
2007-04,23904000
2007-05,23904000
2007-06,23904000
2007-07,23904000
2007-08,23904000
2007-09,23904000
2007-10,23904000
2007-11,23904000
2007-12,23904000
2008-01,24326000
2008-02,24326000
2008-03,24326000
2008-04,24326000
2008-05,24326000
2008-06,24326000
2008-07,24326000
2008-08,24326000
2008-09,24326000
2008-10,24326000
2008-11,24326000
2008-12,24326000
2009-01,24722000
2009-02,24722000
2009-03,24722000
2009-04,24722000
2009-05,24722000
2009-06,24722000
2009-07,24722000
2009-08,24722000
2009-09,24722000
2009-10,24722000
2009-11,24722000
2009-12,24722000
2010-01,25146000
2010-02,25146000
2010-03,25146000
2010-04,25146000
2010-05,25146000
2010-06,25146000
2010-07,25146000
2010-08,25146000
2010-09,25146000
2010-10,25146000
2010-11,25146000
2010-12,25146000
2011-01,25674000
2011-02,25674000
2011-03,25674000
2011-04,25674000
2011-05,25674000
2011-06,25674000
2011-07,25674000
2011-08,25674000
2011-09,25674000
2011-10,25674000
2011-11,25674000
2011-12,25674000
2012-01,26059203
2012-02,26059203
2012-03,26059203
2012-04,26059203
2012-05,26059203
2012-06,26059203
2012-07,26059203
2012-08,26059203
2012-09,26059203
2012-10,26059203
2012-11,26059203
2012-12,26059203
2013-01,26448193
2013-02,26448193
2013-03,26448193
2013-04,26448193
2013-05,26448193
2013-06,26448193
2013-07,26448193
2013-08,26448193
2013-09,26448193
2013-10,26448193
2013-11,26448193
2013-12,26448193
2014-01,26956958
2014-02,26956958
2014-03,26956958
2014-04,26956958
2014-05,26956958
2014-06,26956958
2014-07,26956958
2014-08,26956958
2014-09,26956958
2014-10,26956958
2014-11,26956958
2014-12,26956958
2015-01,27429639
2015-02,27429639
2015-03,27429639
2015-04,27429639
2015-05,27429639
2015-06,27429639
2015-07,27429639
2015-08,27429639
2015-09,27429639
2015-10,27429639
2015-11,27429639
2015-12,27429639
2016-01,27862596
2016-02,27862596
2016-03,27862596
2016-04,27862596
2016-05,27862596
2016-06,27862596
2016-07,27862596
2016-08,27862596
2016-09,27862596
2016-10,27862596
2016-11,27862596
2016-12,27862596